römork tipi;No;PARÇA NUMARASI;Malzeme;"Sac 
Levha 
Kalınlığı";Bilesen;"Ağırlık 
(kg)";Adet;
771 (175x110);69;"S01_047_KNOTT_PLASTIK_ÇAMURLUK_220mm_(6BJ12
2.002)";Özel Plastik;;;1,41;2;
771 (175x110);70;S01_020_40X30_PROFIL_TAPASI;Özel Plastik;;;0,01;2;
771 (175x110);71;S01_012_30X30_PROFIL_TAPASI;Özel Plastik;;;0,01;2;
771 (175x110);72;S03_012_M8_GENIS_PUL_DIN_9021;;;;;8;
771 (175x110);73;771_010_SAG_YAN_SAC;"Galvanize 
Çelik";1,5;;10,19;1;
771 (175x110);74;770_006_ON_SAC;"Galvanize 
Çelik";1,5;;6,41;1;
771 (175x110);75;775_021_ON_KOSE;"1.0037 
(S235JR)";2;;0,35;2;
771 (175x110);76;770_007_KAPAK_DESTEK_PROFIL_KISA;"1.0037 
(S235JR)";;"30x20x2mm 
L:1100";0,96;1;
771 (175x110);77;770_010_ARKA_KAPAK_SAC;"Galvanize 
Çelik";1,5;;6,03;1;
771 (175x110);78;775_029_ARKA_KOSE;"1.0037 
(S235JR)";2;;0,36;2;
771 (175x110);79;768_022_ARKA_KAPAK_KILIT_SACI;"1.0037 
(S235JR)";3;;0,07;2;
771 (175x110);80;S01_034_ORTA_BOY_KAPUT_KILIDI_MONTAJ_90°;;;;0,18;2;
771 (175x110);81;S03_002_M5_RONDELA_Din_127;;;;;8;
771 (175x110);82;"S01_005_KNOTT_B50-
X_TYP_K7,5_CLAMP_(6E0081.072)";;;;;1;
771 (175x110);83;727_015_KAPLIN_SACI_SOL;"1.0037 
(S235JR)";5;;1,09;1;
771 (175x110);84;727_016_KAPLIN_SACI_SAG;"1.0037 
(S235JR)";5;;1,09;1;
771 (175x110);85;727_017_KAPLIN_CIVATA_BORUSU;"1.0037 
(S235JR)";;"Ø21x3,5 
L:40";0,06;2;
771 (175x110);86;S02_014_M12x70_Din933_AKB;;;;;2;
771 (175x110);87;S02_048_M8x25_Din_933_AKB;;;;;8;
771 (175x110);88;728_033_LAMBA_DESTEK_SACI_01;"1.0037 
(S235JR)";5;;0,19;2;
771 (175x110);89;728_032_LAMBA_DESTEK_SACI_02;"1.0037 
(S235JR)";5;;0,09;2;
771 (175x110);90;728_004_LAMBA_DESTEK_BRAKET;"1.0037 
(S235JR)";3;;0,02;4;
771 (175x110);91;"S15_001_4,2x19_RYSB_MATKAP_UCLU_DIN7504_KAPL
I";;;;;18;
771 (175x110);92;768_024_ZIP_LOGO;"Galvanize 
Çelik";1;;0,02;2;
771 (175x110);93;728_028_SAG_LAMBA_SASE;"Galvanize 
Çelik";1,5;;1,33;1;
771 (175x110);94;"S01_002_DESTEK_TEKER_KELEPCESI_Ø48_(6X1097.0
01)";;;;0,65;3;
771 (175x110);95;"S01_010_KRIKOLU_DESTEK_TEKERI_150KG_(6X1699.
001)";;;;4,87;1;
771 (175x110);96;S05_003_PERCIN_4,8x10_Iso_15977;;;;;58;
771 (175x110);97;"S14_005_13LU_ROMORK_FISI_PLASTIK_12V_(AG4081
0)";Özel Plastik;;;0,02;1;
771 (175x110);98;S14_008_90x90x45 TERMOPLASTIK_BUAT_METE;Özel Plastik;;;0,03;1;
771 (175x110);99;S14_007_SK1_BEYAZ_SIRA_KLEMENS_KLEMSAN;Özel Plastik;;;0,02;2;
771 (175x110);100;731_005_5x1_TTR_KABLO_12V;KABLO;;;0,11;1;
771 (175x110);101;731_006_2x1_TTR_KABLO_12V;KABLO;;;0,09;1;
771 (175x110);102;S01_049_SASE_ETİKETİ;Alümin;0,8;;0,04;1;
771 (175x110);103;S01_003_R14_JANT_4x100_Ø57_INCITAS;;;;7,7;2;
771 (175x110);104;S02_016_M12x1,5-24_BIJON_(43696-1);;;;;8;
771 (175x110);105;S02_096_M10x30_DIN931_AKB;;;;;4;
771 (175x110);106;S01_009_KANCA;ST37;;;0,06;6;
771 (175x110);107;770_012_ARKA_KAPAK_DESTEK_PROFIL_KISA;"1.0037 
(S235JR)";;"30x20x1,2m
m L:1250";0,91;1;
